Source,Destination,Distance_km,Time_min
1,2,12.5572976386073,10.4644146988394
1,3,14.7639710904298,12.3033092420248
1,4,8.71139651658954,7.25949709715796
1,5,11.6305300904494,9.69210840870786
1,6,10.0023659303285,8.33530494194041
1,7,9.97045913783237,8.30871594819364
1,8,14.9534502369752,12.4612085308127
1,9,25.7634294774505,21.4695245645421
1,10,12.2185061757073,10.1820884797561
1,11,27.9554621389733,23.2962184491445
1,12,15.6527665058215,13.0439720881846
1,13,19.4229257914739,16.1857714928949
1,14,20.1088648427779,16.7573873689816
1,15,37.5596537436149,31.2997114530124
1,16,8.98762756969693,7.48968964141411
2,1,12.5572976386073,10.4644146988394
2,3,9.01623613375879,7.51353011146565
2,4,15.0944735662992,12.578727971916
2,5,10.1068384746359,8.42236539552989
2,6,17.3753486829674,14.4794572358061
2,7,15.3716822538484,12.8097352115404
2,8,20.1942676083359,16.8285563402799
2,9,30.0310523810714,25.0258769842261
2,10,19.6129387555545,16.3441156296288
2,11,36.0944352028111,30.0786960023425
2,12,23.5131742945621,19.5943119121351
2,13,28.2028398812113,23.5023665676762
2,14,27.0966317221966,22.5805264351639
2,15,43.7532996378127,36.4610830315108
2,16,14.7149759432841,12.2624799527368
3,1,14.7639710904298,12.3033092420248
3,2,9.01623613375878,7.51353011146565
3,4,17.1324343852068,14.277028654339
3,5,11.306801048523,9.42233420710251
3,6,18.8134939541199,15.6779116284333
3,7,18.1441051391814,15.1200876159845
3,8,23.1798269419172,19.3165224515977
3,9,33.0773907736391,27.5644923113659
3,10,22.3184155053405,18.5986795877837
3,11,39.1014084424918,32.5845070354099
3,12,26.3321086584143,21.9434238820119
3,13,30.095255175389,25.0793793128241
3,14,30.1386583185829,25.1155485988192
3,15,44.1327814061122,36.7773178384265
3,16,17.1652606432544,14.3043838693787
4,1,8.71139651658955,7.25949709715796
4,2,15.0944735662991,12.578727971916
4,3,17.1324343852067,14.277028654339
4,5,12.0811715940513,10.0676429950427
4,6,8.56719156234186,7.13932630195155
4,7,12.1897259067217,10.1581049222681
4,8,17.4634370284141,14.5528641903451
4,9,28.4570596260759,23.7142163550634
4,10,11.8217096770356,9.85142473086298
4,11,27.5362224940185,22.9468520783488
4,12,15.2438107171268,12.7031755976057
4,13,15.7447065779594,13.1205888149661
4,14,20.9348459493998,17.4457049578331
4,15,32.7817425682771,27.3181188068976
4,16,8.63948648197355,7.19957206831129
5,1,11.6305300904494,9.69210840870786
5,2,10.1068384746359,8.42236539552989
5,3,11.306801048523,9.42233420710251
5,4,12.0811715940513,10.0676429950427
5,6,11.738600504152,9.78216708679332
5,7,17.7725361534101,14.8104467945084
5,8,23.4895976944321,19.5746647453601
5,9,34.5467541482438,28.7889617902032
5,10,18.9674174329195,15.8061811940996
5,11,35.7807235874864,29.8172696562387
5,12,22.9057326541182,19.0881105450985
5,13,22.3624727466896,18.6353939555746
5,14,28.4668486681295,23.7223738901078
5,15,34.45953489216,28.7162790768
5,16,14.0602470399797,11.7168725333164
6,1,10.0023659303285,8.33530494194041
6,2,17.3753486829673,14.4794572358061
6,3,18.81349395412,15.6779116284333
6,4,8.56719156234186,7.13932630195155
6,5,11.738600504152,9.78216708679332
6,7,17.5800195466405,14.6500162888671
6,8,22.6632450009161,18.8860375007635
6,9,33.57529504963,27.9794125413583
6,10,15.0246671780849,12.5205559817374
6,11,30.4994179651263,25.4161816376052
6,12,18.4162081566682,15.3468401305568
6,13,14.8637067451182,12.3864222875985
6,14,25.0854990835948,20.9045825696622
6,15,27.8349305750862,23.1957754792386
6,16,11.3147550406566,9.42896253388051
7,1,9.97045913783236,8.30871594819364
7,2,15.3716822538484,12.8097352115404
7,3,18.1441051391815,15.1200876159845
7,4,12.1897259067218,10.1581049222681
7,5,17.7725361534101,14.8104467945084
7,6,17.5800195466405,14.6500162888671
7,8,9.79596490437915,8.16330408698261
7,9,18.2821277589653,15.2351064658044
7,10,10.5220528803497,8.76837740029146
7,11,24.255555541886,20.2129629515716
7,12,13.3332112107855,11.1110093423212
7,13,23.025076758024,19.18756396502
7,14,15.4170506461612,12.8475422051344
7,15,44.2455459320957,36.8712882767464
7,16,8.52894048638031,7.10745040531692
8,1,14.9534502369752,12.4612085308127
8,2,20.194267608336,16.8285563402799
8,3,23.179826941917,19.3165224515977
8,4,17.4634370284141,14.5528641903451
8,5,23.4895976944322,19.5746647453601
8,6,22.6632450009162,18.8860375007635
8,7,9.79596490437914,8.16330408698261
8,9,12.8877568569785,10.7397973808154
8,10,9.85912474064071,8.21593728386725
8,11,20.8014475014721,17.33453958456
8,12,11.6730805996868,9.72756716640568
8,13,25.3062661034119,21.0885550861765
8,14,12.014524783733,10.0121039864442
8,15,47.9580499663003,39.9650416385835
8,16,12.5057233988046,10.4214361656705
9,1,25.7634294774505,21.4695245645421
9,2,30.0310523810714,25.0258769842261
9,3,33.0773907736391,27.5644923113659
9,4,28.4570596260762,23.7142163550634
9,5,34.5467541482439,28.7889617902032
9,6,33.57529504963,27.9794125413583
9,7,18.2821277589653,15.2351064658044
9,8,12.8877568569785,10.7397973808154
9,10,19.9009815704672,16.5841513087227
9,11,19.4222809864572,16.1852341553809
9,12,18.1226162258446,15.1021801882039
9,13,33.8068558835059,28.1723799029215
9,14,11.4710803592521,9.55923363271008
9,15,57.2471366057374,47.7059471714479
9,16,23.2850950437442,19.4042458697867
10,1,12.2185061757073,10.1820884797561
10,2,19.6129387555546,16.3441156296288
10,3,22.3184155053404,18.5986795877837
10,4,11.8217096770356,9.85142473086298
10,5,18.9674174329196,15.8061811940996
10,6,15.0246671780848,12.5205559817374
10,7,10.5220528803497,8.76837740029146
10,8,9.85912474064071,8.21593728386725
10,9,19.9009815704673,16.5841513087227
10,11,19.6750322566027,16.3958602138356
10,12,9.51644430457874,7.93037025381562
10,13,15.7657587140064,13.138132261672
10,14,12.6221307030683,10.5184422525569
10,15,38.204989922393,31.8374916019942
10,16,10.2665045510044,8.55542045917033
11,1,27.9554621389734,23.2962184491445
11,2,36.094435202811,30.0786960023425
11,3,39.1014084424919,32.5845070354099
11,4,27.5362224940187,22.9468520783488
11,5,35.7807235874864,29.8172696562387
11,6,30.4994179651264,25.4161816376052
11,7,24.2555555418858,20.2129629515716
11,8,20.801447501472,17.33453958456
11,9,19.4222809864571,16.1852341553809
11,10,19.6750322566027,16.3958602138356
11,12,15.8473800801653,13.2061500668045
11,13,23.707223882328,19.75601990194
11,14,13.2902357015651,11.0751964179709
11,15,45.6448757415115,38.0373964512595
11,16,25.0490928779685,20.8742440649737
12,1,15.6527665058215,13.0439720881846
12,2,23.5131742945621,19.5943119121351
12,3,26.3321086584141,21.9434238820119
12,4,15.2438107171269,12.7031755976057
12,5,22.9057326541183,19.0881105450985
12,6,18.4162081566682,15.3468401305568
12,7,13.3332112107855,11.1110093423212
12,8,11.6730805996868,9.72756716640568
12,9,18.1226162258447,15.1021801882039
12,10,9.51644430457874,7.93037025381562
12,11,15.8473800801654,13.2061500668045
12,13,15.7418074722642,13.1181728935535
12,14,9.64145807265433,8.03454839387861
12,15,39.1606585795743,32.6338821496452
12,16,13.2054260837453,11.0045217364545
13,1,19.4229257914738,16.1857714928949
13,2,28.2028398812114,23.5023665676762
13,3,30.095255175389,25.0793793128241
13,4,15.7447065779594,13.1205888149661
13,5,22.3624727466894,18.6353939555746
13,6,14.8637067451182,12.3864222875985
13,7,23.0250767580239,19.18756396502
13,8,25.3062661034119,21.0885550861765
13,9,33.8068558835059,28.1723799029215
13,10,15.7657587140064,13.138132261672
13,11,23.707223882328,19.75601990194
13,12,15.7418074722642,13.1181728935535
13,14,22.76427237073,18.9702269756083
13,15,23.5814446565379,19.6512038804482
13,16,18.0620311896529,15.0516926580441
14,1,20.1088648427779,16.7573873689816
14,2,27.0966317221967,22.5805264351639
14,3,30.138658318583,25.1155485988192
14,4,20.9348459493998,17.4457049578331
14,5,28.4668486681294,23.7223738901078
14,6,25.0854990835944,20.9045825696622
14,7,15.4170506461612,12.8475422051344
14,8,12.014524783733,10.0121039864442
14,9,11.4710803592521,9.55923363271008
14,10,12.6221307030683,10.5184422525569
14,11,13.2902357015651,11.0751964179709
14,12,9.64145807265433,8.03454839387861
14,13,22.76427237073,18.9702269756083
14,15,46.2616309006063,38.5513590838385
14,16,17.3182292923053,14.4318577435877
15,1,37.5596537436149,31.2997114530124
15,2,43.7532996378131,36.4610830315108
15,3,44.1327814061118,36.7773178384265
15,4,32.7817425682772,27.3181188068976
15,5,34.4595348921602,28.7162790768
15,6,27.8349305750864,23.1957754792386
15,7,44.2455459320956,36.8712882767464
15,8,47.9580499663001,39.9650416385835
15,9,57.2471366057375,47.7059471714479
15,10,38.2049899223931,31.8374916019942
15,11,45.6448757415114,38.0373964512595
15,12,39.1606585795743,32.6338821496452
15,13,23.5814446565379,19.6512038804482
15,14,46.2616309006064,38.5513590838385
15,16,37.9019978217771,31.5849981848143
16,1,8.98762756969694,7.48968964141411
16,2,14.7149759432842,12.2624799527368
16,3,17.1652606432544,14.3043838693787
16,4,8.63948648197355,7.19957206831129
16,5,14.0602470399796,11.7168725333164
16,6,11.3147550406566,9.42896253388051
16,7,8.5289404863803,7.10745040531692
16,8,12.5057233988045,10.4214361656705
16,9,23.2850950437442,19.4042458697867
16,10,10.2665045510044,8.55542045917033
16,11,25.0490928779684,20.8742440649737
16,12,13.2054260837454,11.0045217364545
16,13,18.0620311896529,15.0516926580441
16,14,17.3182292923052,14.4318577435877
16,15,37.9019978217772,31.5849981848143
