Latitude,Longitude,TempC,PressurehPa,HumidityPct,WindSpeedMS,WindDirDeg,U,V
12.8058493160592,79.9000646638076,27.4,1013,67,1.48,352,1.46559674173752,-0.205976189420898
12.8090233923154,79.9000646638076,27.4,1013,67,1.48,352,1.46559674173752,-0.205976189420898
12.8121974685716,79.9000646638076,27.4,1013,67,1.48,352,1.46559674173752,-0.205976189420898
12.8153715448278,79.9000646638076,27.4,1013,67,1.48,352,1.46559674173752,-0.205976189420898
12.8185456210839,79.9000646638076,27.4,1013,67,1.48,352,1.46559674173752,-0.205976189420898
12.8217196973401,79.9000646638076,27.4,1013,67,1.48,352,1.46559674173752,-0.205976189420898
12.8248937735963,79.9000646638076,27.4,1013,67,1.48,352,1.46559674173752,-0.205976189420898
12.8280678498525,79.9000646638076,27.4,1013,67,1.48,352,1.46559674173752,-0.205976189420898
12.8312419261087,79.9000646638076,27.4,1013,67,1.48,352,1.46559674173752,-0.205976189420898
12.8344160023649,79.9000646638076,27.43,1013,67,1.45,349,1.42335941599911,-0.27667304329599
12.837590078621,79.9000646638076,27.43,1013,67,1.45,349,1.42335941599911,-0.27667304329599
12.8407641548772,79.9000646638076,27.43,1013,67,1.45,349,1.42335941599911,-0.27667304329599
12.8439382311334,79.9000646638076,27.43,1013,67,1.45,349,1.42335941599911,-0.27667304329599
12.8471123073896,79.9000646638076,27.43,1013,67,1.45,349,1.42335941599911,-0.27667304329599
12.8502863836458,79.9000646638076,27.43,1013,67,1.45,349,1.42335941599911,-0.27667304329599
12.853460459902,79.9000646638076,27.43,1013,67,1.45,349,1.42335941599911,-0.27667304329599
12.8566345361581,79.9000646638076,27.43,1013,67,1.45,349,1.42335941599911,-0.27667304329599
12.8598086124143,79.9000646638076,27.43,1013,67,1.45,349,1.42335941599911,-0.27667304329599
12.8629826886705,79.9000646638076,27.43,1013,67,1.45,349,1.42335941599911,-0.27667304329599
12.8661567649267,79.9000646638076,27.43,1013,67,1.45,349,1.42335941599911,-0.27667304329599
12.8693308411829,79.9000646638076,27.43,1013,67,1.45,349,1.42335941599911,-0.27667304329599
12.8725049174391,79.9000646638076,27.43,1013,67,1.45,349,1.42335941599911,-0.27667304329599
12.8756789936952,79.9000646638076,27.43,1013,67,1.45,349,1.42335941599911,-0.27667304329599
12.8788530699514,79.9000646638076,27.43,1013,67,1.45,349,1.42335941599911,-0.27667304329599
