Model,SINR_Mean_dB,SINR_CI95_dB,Outage_Mean,Outage_CI95,Reliability_Mean,Reliability_CI95,PValue_vs_DRL_SINR,PValue_vs_DRL_Outage
DRL,4.20501631298724,1.50668992932116,0.84,0.102649695567011,0.615330544550691,0.0876280082877545,NaN,NaN
Direct,14.9250235755029,1.67997991749214,0.2,0.112,0.934330989697388,0.022846974295484,3.17495924824577e-09,9.64260673022828e-08
UAV_DF,22.4507734671024,1.67997991749214,0,0,0.987439645754245,0.00466756985318651,7.55692945586362e-10,9.12734179928921e-11
TwoHop,16.9399955785912,1.18011205794988,0.08,0.075962095811003,0.966745091965932,0.0111275462861104,8.53422673646544e-10,7.07446309897067e-10
UAV_AF,19.4129538215579,1.6881363085118,0.06,0.0664963156874123,0.97490319635574,0.00931481968218002,8.03109090704699e-10,4.23805542607948e-10
