Model,SuccessRatePct,TimeMeanSec,DistanceMeanKm,BatteryMeanPct,SINRMeanDb,HandoffsMean
DRL,0,2796.85406579471,69.9213516448678,12.5983104439148,4.20501631298724,5.92
Straight,100,929.194830773675,23.2298707693419,70.9626615383225,12.9232332919374,2.08
NearestRelay,0,2796.85406579496,69.921351644874,12.5983104439067,43.8231681310295,0
SNRGreedy,28,2186.34077829098,54.6585194572746,31.6768506784061,32.0808927594566,1.18
