-10,0.000615824367115428,0.00127929461147127,0.00152690002014313
-8,0.000974907083771873,0.00201192677300092,0.00240133195487206
-6,0.00152558030553269,0.00312300670128262,0.00372745961120828
-4,0.00240562851777069,0.00498184083284294,0.00594606809081254
-2,0.00388582664707249,0.00808119159641453,0.00964529319572058
0,0.00606167162073826,0.0124412715075739,0.0148492595412979
2,0.00980291669329159,0.0202313665399322,0.0241471149024998
4,0.0156229953676866,0.0321056656615683,0.0383196654670331
6,0.024168706060743,0.049115725131302,0.0586219945115539
8,0.0375167417793691,0.0757051762956744,0.0903577910625791
10,0.0603027420919293,0.1199992239707,0.143224880223093
12,0.0927099589219815,0.178386506358038,0.212912926943465
14,0.147938011498753,0.279003088937686,0.333003686796593
16,0.224870860559062,0.407901954622982,0.486850720033881
18,0.330102706223059,0.570571665683018,0.681004891299087
20,0.497887868605201,0.818483843139603,0.976900070844042
