Source,Destination,Distance_km,Time_min
1,2,9.55396923075694,7.96164102563078
1,3,12.1626470045717,10.1355391704763
1,4,4.82499219114487,4.02082682595404
1,5,9.04077614844034,7.53398012370011
1,6,9.92690257773994,8.27241881478328
1,7,8.19071618018633,6.82559681682196
1,8,13.9057751290732,11.5881459408943
1,9,25.2266515299959,21.0222096083296
1,10,8.86464887128714,7.38720739273928
1,11,26.6856883226272,22.2380736021889
1,12,13.2123245114533,11.0102704262111
1,13,18.4307299953762,15.3589416628135
1,14,18.6205568919944,15.5171307433286
1,15,37.509660321025,31.2580502675201
1,16,3.08901954272796,2.5741829522733
2,1,9.55396923075695,7.96164102563077
2,3,3.2094488358178,2.67454069651489
2,4,13.2730028526877,11.0608357105731
2,5,9.60704680368991,8.0058723364085
2,6,16.5138428723251,13.7615357269374
2,7,12.9972136260019,10.8310113550015
2,8,18.6224821056684,15.5187350880569
2,9,29.1950998188756,24.329249849063
2,10,17.7007864674336,14.7506553895279
2,11,35.0855176003806,29.2379313336509
2,12,21.9329976772303,18.2774980643584
2,13,27.3743628308808,22.811969025734
2,14,25.790940709309,21.4924505910909
2,15,43.6203081051417,36.3502567542856
2,16,12.1133342728008,10.0944452273341
3,1,12.1626470045718,10.1355391704764
3,2,3.2094488358178,2.67454069651486
3,4,15.2768499344272,12.7307082786891
3,5,9.73947455083649,8.11622879236352
3,6,17.6882607770524,14.7402173142102
3,7,16.2051793340277,13.5043161116897
3,8,21.8186299877394,18.1821916564493
3,9,32.2968008738509,26.914000728209
3,10,20.64469833956,17.2039152829666
3,11,38.1748033902485,31.81233615854
3,12,24.9275298177994,20.7729415148329
3,13,29.2187727537186,24.3489772947655
3,14,28.9782064558436,24.1485053798695
3,15,43.9537289908293,36.6281074923587
3,16,14.9399106871869,12.4499255726558
4,1,4.82499219114486,4.02082682595404
4,2,13.2730028526878,11.0608357105731
4,3,15.2768499344271,12.7307082786891
4,5,8.65328893308437,7.21107411090362
4,6,5.45452779350479,4.54543982792063
4,7,12.0610006725497,10.0508338937915
4,8,17.1093856223361,14.2578213519467
4,9,28.1515328644041,23.4596107203369
4,10,9.34239379613074,7.7853281634423
4,11,26.3715723870102,21.9763103225083
4,12,13.221023917424,11.0175199311866
4,13,14.1055625901625,11.7546354918021
4,14,19.9051003230854,16.5875836025713
4,15,32.7330091182998,27.2775075985836
4,16,5.59130244801475,4.65941870667896
5,1,9.04077614844034,7.53398012370011
5,2,9.60704680368992,8.00587233640841
5,3,9.73947455083649,8.1162287923635
5,4,8.65328893308437,7.21107411090362
5,6,8.61308530386883,7.1775710865573
5,7,16.8562773848521,14.0468978207101
5,8,22.7754510385095,18.9795425320914
5,9,34.0999599936144,28.4166333280117
5,10,17.2944369853903,14.4120308211585
5,11,34.8617432835536,29.0514527362948
5,12,21.4914102819275,17.9095085682727
5,13,20.887148320967,17.4059569341393
5,14,27.5319451068083,22.9432875890069
5,15,34.2421167478533,28.5350972898774
5,16,11.9420370256443,9.95169752137026
6,1,9.92690257773995,8.27241881478328
6,2,16.513842872325,13.7615357269375
6,3,17.6882607770523,14.7402173142102
6,4,5.45452779350479,4.54543982792063
6,5,8.61308530386882,7.17757108655732
6,7,17.5149308775224,14.5957757312687
6,8,22.4752987193601,18.729415599467
6,9,33.3688351738851,27.8073626449044
6,10,14.0058379943128,11.6715316619274
6,11,29.6000619432688,24.6667182860575
6,12,17.2843157583943,14.4035964653287
6,13,12.3695200152467,10.3079333460386
6,14,24.4551660180983,20.3793050150821
6,15,27.728765193701,23.1073043280846
6,16,11.041180042266,9.20098336855497
7,1,8.19071618018633,6.82559681682196
7,2,12.9972136260019,10.8310113550016
7,3,16.2051793340277,13.5043161116897
7,4,12.0610006725497,10.0508338937914
7,5,16.8562773848521,14.0468978207101
7,6,17.5149308775224,14.5957757312687
7,8,5.99081633584077,4.99234694653401
7,9,17.2622433685848,14.3852028071536
7,10,7.7675485845022,6.47295715375185
7,11,22.7344833521603,18.9454027934669
7,12,10.7846864345911,8.98723869549261
7,13,22.74003773187,18.950031443225
7,14,12.9011716687592,10.7509763906325
7,15,44.2354133393875,36.8628444494894
7,16,6.49962176403326,5.41635147002767
8,1,13.9057751290732,11.5881459408943
8,2,18.6224821056684,15.5187350880571
8,3,21.8186299877393,18.1821916564494
8,4,17.109385622336,14.2578213519467
8,5,22.7754510385095,18.9795425320914
8,6,22.4752987193602,18.7294155994669
8,7,5.99081633584077,4.992346946534
8,9,11.3310059129047,9.44250492742029
8,10,9.78086601638661,8.1507216803222
8,11,19.1522064787707,15.9601720656423
8,12,10.3873644605687,8.65613705047394
8,13,25.2523323978179,21.0436103315151
8,14,8.67427343216635,7.22856119347199
8,15,47.9580027111853,39.9650022593214
8,16,11.6099036499477,9.67491970828982
9,1,25.2266515299958,21.0222096083296
9,2,29.1950998188756,24.329249849063
9,3,32.2968008738508,26.914000728209
9,4,28.1515328644041,23.4596107203369
9,5,34.0999599936144,28.4166333280117
9,6,33.368835173885,27.8073626449038
9,7,17.2622433685848,14.3852028071536
9,8,11.3310059129047,9.44250492742029
9,10,19.6791704532468,16.3993087110393
9,11,18.6521145813571,15.5434288177976
9,12,18.0919731534835,15.0766442945698
9,13,33.8012243263707,28.1676869386424
9,14,11.3798224576353,9.48318538136292
9,15,57.238472977897,47.698727481581
9,16,22.8025356518623,19.0021130432187
10,1,8.86464887128714,7.38720739273926
10,2,17.7007864674336,14.750655389528
10,3,20.6446983395599,17.2039152829663
10,4,9.34239379613073,7.7853281634423
10,5,17.2944369853903,14.4120308211585
10,6,14.0058379943128,11.6715316619274
10,7,7.7675485845022,6.47295715375185
10,8,9.78086601638662,8.15072168032222
10,9,19.6791704532468,16.3993087110391
10,11,17.8226442050331,14.8522035041943
10,12,4.3491571927097,3.62429766059144
10,13,15.5671690941281,12.9726409117733
10,14,10.5686235372846,8.80718628107056
10,15,38.2049024140119,31.8374186783431
10,16,5.80903298320233,4.84086081933528
11,1,26.6856883226272,22.2380736021889
11,2,35.0855176003806,29.2379313336505
11,3,38.1748033902484,31.8123361585403
11,4,26.3715723870102,21.9763103225084
11,5,34.8617432835535,29.0514527362948
11,6,29.6000619432688,24.6667182860573
11,7,22.7344833521603,18.9454027934671
11,8,19.1522064787708,15.9601720656421
11,9,18.6521145813571,15.5434288177977
11,10,17.8226442050331,14.8522035041944
11,12,13.4822317232834,11.2351931027364
11,13,23.1330707435652,19.2775589529708
11,14,10.4908894752644,8.74240789605357
11,15,45.5205515379199,37.933792948267
11,16,23.6153186664626,19.6794322220523
12,1,13.2123245114533,11.0102704262111
12,2,21.9329976772303,18.2774980643585
12,3,24.9275298177993,20.7729415148329
12,4,13.221023917424,11.0175199311866
12,5,21.4914102819275,17.9095085682728
12,6,17.2843157583943,14.4035964653287
12,7,10.7846864345911,8.9872386954926
12,8,10.3873644605687,8.65613705047397
12,9,18.0919731534834,15.0766442945695
12,10,4.3491571927097,3.62429766059144
12,11,13.4822317232835,11.2351931027364
12,13,15.739811917039,13.1165099308658
12,14,7.45023836825084,6.20853197354222
12,15,39.1470158884285,32.6225132403574
12,16,10.1569737824501,8.4641448187084
13,1,18.4307299953762,15.3589416628135
13,2,27.3743628308808,22.811969025734
13,3,29.2187727537186,24.3489772947655
13,4,14.1055625901625,11.7546354918021
13,5,20.8871483209669,17.4059569341392
13,6,12.3695200152467,10.3079333460386
13,7,22.74003773187,18.950031443225
13,8,25.252332397818,21.043610331515
13,9,33.8012243263708,28.1676869386425
13,10,15.5671690941281,12.9726409117733
13,11,23.1330707435652,19.2775589529708
13,12,15.739811917039,13.116509930866
13,14,22.7158753005253,18.929896083771
13,15,23.524003866252,19.6033365552095
13,16,17.3131579158053,14.4276315965044
14,1,18.6205568919944,15.5171307433286
14,2,25.7909407093091,21.4924505910909
14,3,28.9782064558435,24.1485053798694
14,4,19.9051003230854,16.5875836025713
14,5,27.5319451068083,22.9432875890069
14,6,24.4551660180984,20.3793050150821
14,7,12.9011716687592,10.7509763906326
14,8,8.67427343216635,7.22856119347198
14,9,11.3798224576353,9.48318538136292
14,10,10.5686235372846,8.80718628107056
14,11,10.4908894752644,8.74240789605374
14,12,7.45023836825083,6.20853197354215
14,13,22.7158753005253,18.929896083771
14,15,46.2377919769935,38.5314933141613
14,16,15.6042537387469,13.0035447822893
15,1,37.509660321025,31.2580502675201
15,2,43.620308105142,36.3502567542854
15,3,43.9537289908297,36.6281074923586
15,4,32.7330091183,27.2775075985836
15,5,34.2421167478534,28.5350972898774
15,6,27.728765193701,23.1073043280847
15,7,44.2354133393878,36.8628444494898
15,8,47.9580027111859,39.965002259321
15,9,57.2384729778979,47.6987274815809
15,10,38.2049024140121,31.8374186783429
15,11,45.5205515379202,37.9337929482671
15,12,39.1470158884285,32.6225132403578
15,13,23.5240038662519,19.6033365552091
15,14,46.2377919769934,38.5314933141615
15,16,37.8816457363385,31.5680381136153
16,1,3.08901954272796,2.5741829522733
16,2,12.1133342728008,10.094445227334
16,3,14.939910687187,12.4499255726558
16,4,5.59130244801475,4.65941870667896
16,5,11.9420370256442,9.95169752137027
16,6,11.041180042266,9.20098336855497
16,7,6.49962176403326,5.41635147002768
16,8,11.6099036499477,9.67491970828981
16,9,22.8025356518623,19.0021130432187
16,10,5.80903298320232,4.84086081933528
16,11,23.6153186664626,19.6794322220523
16,12,10.1569737824501,8.46414481870836
16,13,17.3131579158053,14.4276315965044
16,14,15.6042537387469,13.0035447822893
16,15,37.8816457363387,31.5680381136149
